ticker,final_score,grade,sentiment_score,technical_score,news_count
AAPL,90.0,STRONG BUY,54.39,35.0,20
JPM,90.0,STRONG BUY,54.1,10.0,10
AVGO,90.0,STRONG BUY,69.88,10.0,20
TSLA,90.0,STRONG BUY,54.38,35.0,20
LLY,85.69,STRONG BUY,56.18,85.0,15
AMZN,71.16,BUY,57.38,10.0,20
NVDA,40.0,SLIGHTLY BEARISH,57.7,35.0,20
META,40.0,SLIGHTLY BEARISH,54.53,35.0,20
MSFT,40.0,SLIGHTLY BEARISH,53.84,35.0,20
GOOGL,40.0,SLIGHTLY BEARISH,58.32,60.0,20
